x,y,z,Fz
0,7,79,5.89320932e+01
0,7,80,nan
0,7,81,nan
0,7,82,6.09236352e+01
0,7,83,5.63979962e+01
0,7,84,nan
0,7,85,nan
0,7,86,6.30191007e+01
0,7,87,6.36994724e+01
0,7,88,nan
0,7,89,nan
0,7,90,nan
0,7,91,5.75064298e+01
0,7,92,5.84709846e+01
0,7,93,5.44463427e+01
0,7,94,nan
0,7,95,5.76742990e+01
0,7,96,nan
0,7,97,5.87028401e+01
0,7,98,5.93646194e+01
0,7,99,5.85993229e+01
0,8,0,nan
0,8,1,nan
0,8,2,5.89238385e+01
0,8,3,5.62650495e+01
0,8,4,nan
0,8,5,6.04419888e+01
0,8,6,5.78747952e+01
0,8,7,5.94410006e+01
0,8,8,nan
0,8,9,nan
0,8,10,6.23032525e+01
0,8,11,6.30352401e+01
0,8,12,nan
0,8,13,nan
0,8,14,5.88215913e+01
0,8,15,nan
0,8,16,nan
0,8,17,5.95032892e+01
0,8,18,nan
0,8,19,nan
0,8,20,5.83146054e+01
0,8,21,6.39955167e+01
0,8,22,5.73991078e+01
0,8,23,nan
0,8,24,5.80974141e+01
0,8,25,5.86787557e+01
0,8,26,6.12170475e+01
0,8,27,nan
0,8,28,nan
0,8,29,nan
0,8,30,nan
0,8,31,nan
0,8,32,6.01657143e+01
0,8,33,nan
0,8,34,nan
0,8,35,nan
0,8,36,5.91560796e+01
0,8,37,6.45837869e+01
0,8,38,5.63895480e+01
0,8,39,nan
0,8,40,nan
0,8,41,nan
0,8,42,nan
0,8,43,5.77031268e+01
0,8,44,6.06058886e+01
0,8,45,6.20582446e+01
0,8,46,nan
0,8,47,nan
0,8,48,5.90882414e+01
0,8,49,5.96243751e+01
0,8,50,nan
0,8,51,nan
0,8,52,6.11643326e+01
0,8,53,6.06118706e+01
0,8,54,nan
0,8,55,5.74677172e+01
0,8,56,5.89812914e+01
0,8,57,nan
0,8,58,nan
0,8,59,nan
0,8,60,5.64143473e+01
0,8,61,6.04050837e+01
0,8,62,5.78378498e+01
0,8,63,nan
0,8,64,nan
0,8,65,nan
0,8,66,6.08585630e+01
0,8,67,5.91947901e+01
0,8,68,6.41849335e+01
0,8,69,6.30402702e+01
0,8,70,nan
0,8,71,nan
0,8,72,5.90810475e+01
0,8,73,nan
0,8,74,6.03554170e+01
0,8,75,6.00782702e+01
0,8,76,nan
0,8,77,nan
0,8,78,6.22708198e+01
0,8,79,nan
0,8,80,nan
0,8,81,nan
0,8,82,nan
0,8,83,nan
0,8,84,nan
0,8,85,6.27857369e+01
0,8,86,nan
0,8,87,nan
0,8,88,nan
0,8,89,nan
0,8,90,6.05630298e+01
0,8,91,5.58103563e+01
0,8,92,6.04267604e+01
0,8,93,5.71135354e+01
0,8,94,nan
0,8,95,nan
0,8,96,nan
0,8,97,6.19812621e+01
0,8,98,6.27367373e+01
0,8,99,nan
0,9,0,nan
0,9,1,nan
0,9,2,5.88066531e+01
0,9,3,nan
0,9,4,6.29427421e+01
0,9,5,nan
0,9,6,nan
0,9,7,5.53868810e+01
0,9,8,nan
0,9,9,6.13526136e+01
0,9,10,6.35135394e+01
0,9,11,6.09196402e+01
0,9,12,nan
0,9,13,nan
0,9,14,nan
0,9,15,6.18793607e+01
0,9,16,5.93112601e+01
0,9,17,nan
0,9,18,nan
0,9,19,nan
0,9,20,6.30319665e+01
0,9,21,6.29375624e+01
0,9,22,nan
0,9,23,nan
0,9,24,nan
0,9,25,6.31979000e+01
0,9,26,nan
0,9,27,nan
0,9,28,nan
0,9,29,6.21432224e+01
0,9,30,5.69844377e+01
0,9,31,nan
0,9,32,5.71422856e+01
0,9,33,nan
0,9,34,nan
0,9,35,nan
0,9,36,5.99965706e+01
0,9,37,6.03478802e+01
0,9,38,6.33944121e+01
0,9,39,nan
0,9,40,nan
0,9,41,nan
0,9,42,nan
0,9,43,6.13456957e+01
0,9,44,6.25607248e+01
0,9,45,6.55285326e+01
0,9,46,5.94220746e+01
0,9,47,nan
0,9,48,nan
0,9,49,nan
0,9,50,nan
0,9,51,nan
0,9,52,5.92731723e+01
0,9,53,nan
0,9,54,6.19191163e+01
0,9,55,5.88202940e+01
0,9,56,nan
0,9,57,nan
0,9,58,nan
0,9,59,6.05303508e+01
0,9,60,nan
0,9,61,nan
0,9,62,5.89367646e+01
0,9,63,6.00796024e+01
0,9,64,nan
0,9,65,nan
0,9,66,5.67085022e+01
0,9,67,5.98495023e+01
0,9,68,nan
0,9,69,5.68693735e+01
0,9,70,5.94016993e+01
0,9,71,5.74615511e+01
0,9,72,5.68843285e+01
0,9,73,nan
0,9,74,6.02320863e+01
0,9,75,nan
0,9,76,nan
0,9,77,6.31874236e+01
0,9,78,6.03578249e+01
0,9,79,nan
0,9,80,6.02599469e+01
0,9,81,5.47581588e+01
0,9,82,nan
0,9,83,nan
0,9,84,6.15647458e+01
0,9,85,6.26653655e+01
0,9,86,5.53997244e+01
0,9,87,nan
0,9,88,nan
0,9,89,6.04060831e+01
0,9,90,6.00073399e+01
0,9,91,5.79064835e+01
0,9,92,5.69613459e+01
0,9,93,5.64672782e+01
0,9,94,5.82443561e+01
0,9,95,nan
0,9,96,nan
0,9,97,nan
0,9,98,5.84993602e+01
0,9,99,5.95835175e+01
0,10,0,5.68231949e+01
0,10,1,nan
0,10,2,6.11600375e+01
0,10,3,nan
0,10,4,nan
0,10,5,nan
0,10,6,5.86875630e+01
0,10,7,5.68183211e+01
0,10,8,nan
0,10,9,nan
0,10,10,6.37727850e+01
0,10,11,6.28508709e+01
0,10,12,nan
0,10,13,nan
0,10,14,nan
0,10,15,5.77507899e+01
0,10,16,5.85498363e+01
0,10,17,5.97631360e+01
0,10,18,nan
0,10,19,6.09595570e+01
0,10,20,6.01853706e+01
0,10,21,6.00139788e+01
0,10,22,nan
0,10,23,nan
0,10,24,5.81562305e+01
0,10,25,5.83709962e+01
0,10,26,nan
0,10,27,6.03116818e+01
0,10,28,6.02417762e+01
0,10,29,nan
0,10,30,5.73444196e+01
0,10,31,5.68937288e+01
0,10,32,6.27588250e+01
0,10,33,nan
0,10,34,nan
0,10,35,nan
0,10,36,6.31267047e+01
0,10,37,6.33578077e+01
0,10,38,5.87605551e+01
0,10,39,nan
0,10,40,nan
0,10,41,nan
0,10,42,6.34274379e+01
0,10,43,6.27256552e+01
0,10,44,nan
0,10,45,nan
0,10,46,nan
0,10,47,nan
0,10,48,6.21131310e+01
0,10,49,5.74133794e+01
0,10,50,nan
0,10,51,nan
0,10,52,5.90262406e+01
0,10,53,5.97075715e+01
0,10,54,6.25638640e+01
0,10,55,5.51425522e+01
0,10,56,nan
0,10,57,nan
0,10,58,nan
0,10,59,5.85841893e+01
0,10,60,6.17791266e+01
0,10,61,5.68958891e+01
0,10,62,nan
0,10,63,nan
0,10,64,5.54116725e+01
0,10,65,6.44263553e+01
0,10,66,nan
0,10,67,nan
0,10,68,nan
0,10,69,nan
0,10,70,nan
0,10,71,nan
0,10,72,5.72354419e+01
0,10,73,6.40762455e+01
0,10,74,6.42753666e+01
0,10,75,nan
0,10,76,nan
0,10,77,nan
0,10,78,5.63154915e+01
0,10,79,5.78677386e+01
0,10,80,5.94712262e+01
0,10,81,5.76364867e+01
0,10,82,nan
0,10,83,nan
0,10,84,nan
0,10,85,5.99334138e+01
0,10,86,5.85770713e+01
0,10,87,nan
0,10,88,nan
0,10,89,5.70095494e+01
0,10,90,5.59846964e+01
0,10,91,nan
0,10,92,6.01410485e+01
0,10,93,5.89767541e+01
0,10,94,5.71564813e+01
0,10,95,nan
0,10,96,nan
0,10,97,nan
0,10,98,nan
0,10,99,6.22301821e+01
0,11,0,5.98216877e+01
0,11,1,nan
0,11,2,6.15972756e+01
0,11,3,nan
0,11,4,nan
0,11,5,nan
0,11,6,5.62922175e+01
0,11,7,5.77616647e+01
0,11,8,5.44474911e+01
0,11,9,nan
0,11,10,5.84253728e+01
0,11,11,6.20499206e+01
0,11,12,6.03324835e+01
0,11,13,nan
0,11,14,6.26483262e+01
0,11,15,5.79916536e+01
0,11,16,nan
0,11,17,6.20575815e+01
0,11,18,nan
0,11,19,nan
0,11,20,5.84914921e+01
0,11,21,5.84105834e+01
0,11,22,5.90875536e+01
0,11,23,5.94480789e+01
0,11,24,nan
0,11,25,nan
0,11,26,nan
0,11,27,6.34989911e+01
0,11,28,6.13071084e+01
0,11,29,nan
0,11,30,nan
0,11,31,6.03482355e+01
0,11,32,6.03620928e+01
0,11,33,nan
0,11,34,nan
0,11,35,nan
0,11,36,nan
0,11,37,6.21873351e+01
0,11,38,5.84509167e+01
0,11,39,nan
0,11,40,6.16070238e+01
0,11,41,5.66298022e+01
0,11,42,5.87862903e+01
0,11,43,5.86258786e+01
0,11,44,nan
0,11,45,nan
0,11,46,nan
0,11,47,nan
0,11,48,5.78483722e+01
0,11,49,5.92004451e+01
0,11,50,nan
0,11,51,nan
0,11,52,nan
0,11,53,6.02220475e+01
0,11,54,6.23662208e+01
0,11,55,6.09642849e+01
0,11,56,nan
