x,y,z,vy
0,7,91,-4.07194946e+00
0,7,92,-4.06127921e+00
0,7,93,-4.05208367e+00
0,7,94,-4.04245089e+00
0,7,95,-4.03139812e+00
0,7,96,-4.02031900e+00
0,7,97,-4.01370644e+00
0,7,98,-4.01286422e+00
0,7,99,-4.01615366e+00
0,8,0,-4.01866420e+00
0,8,1,-4.02626752e+00
0,8,2,-4.03085490e+00
0,8,3,-4.03168032e+00
0,8,4,-4.03054978e+00
0,8,5,-4.02905599e+00
0,8,6,-4.02753696e+00
0,8,7,-4.02506311e+00
0,8,8,-4.02111608e+00
0,8,9,-4.01616432e+00
0,8,10,-4.01312370e+00
0,8,11,-4.01346246e+00
0,8,12,-4.01578262e+00
0,8,13,-4.01844663e+00
0,8,14,-4.01871923e+00
0,8,15,-4.01467828e+00
0,8,16,-4.00288417e+00
0,8,17,-3.98527840e+00
0,8,18,-3.96961642e+00
0,8,19,-3.95821503e+00
0,8,20,-3.95202709e+00
0,8,21,-3.94946031e+00
0,8,22,-3.94718976e+00
0,8,23,-3.94489800e+00
0,8,24,-3.94343465e+00
0,8,25,-3.94274423e+00
0,8,26,-3.94087999e+00
0,8,27,-3.93762928e+00
0,8,28,-3.93464564e+00
0,8,29,-3.93396295e+00
0,8,30,-3.93573036e+00
0,8,31,-3.93635344e+00
0,8,32,-3.93468061e+00
0,8,33,-3.92832017e+00
0,8,34,-3.91887837e+00
0,8,35,-3.91255461e+00
0,8,36,-3.91042638e+00
0,8,37,-3.91071453e+00
0,8,38,-3.91174012e+00
0,8,39,-3.91157247e+00
0,8,40,-3.91046759e+00
0,8,41,-3.90912962e+00
0,8,42,-3.90854475e+00
0,8,43,-3.90925536e+00
0,8,44,-3.91138905e+00
0,8,45,-3.91593592e+00
0,8,46,-3.92371539e+00
0,8,47,-3.93246029e+00
0,8,48,-3.93943114e+00
0,8,49,-3.94325090e+00
0,8,50,-3.94484851e+00
0,8,51,-3.94507546e+00
0,8,52,-3.94385402e+00
0,8,53,-3.94156455e+00
0,8,54,-3.93697610e+00
0,8,55,-3.93088513e+00
0,8,56,-3.92393925e+00
0,8,57,-3.91796466e+00
0,8,58,-3.91368559e+00
0,8,59,-3.91212806e+00
0,8,60,-3.91282165e+00
0,8,61,-3.91633876e+00
0,8,62,-3.92494430e+00
0,8,63,-3.93788979e+00
0,8,64,-3.95279868e+00
0,8,65,-3.96705488e+00
0,8,66,-3.97970192e+00
0,8,67,-3.99090757e+00
0,8,68,-4.00169890e+00
0,8,69,-4.01247442e+00
0,8,70,-4.02024728e+00
0,8,71,-4.02305381e+00
0,8,72,-4.02183695e+00
0,8,73,-4.01773489e+00
0,8,74,-4.01069992e+00
0,8,75,-4.00408399e+00
0,8,76,-4.00126293e+00
0,8,77,-4.00260455e+00
0,8,78,-4.01162417e+00
0,8,79,-4.02934399e+00
0,8,80,-4.04978405e+00
0,8,81,-4.06982971e+00
0,8,82,-4.08932223e+00
0,8,83,-4.10678727e+00
0,8,84,-4.12079668e+00
0,8,85,-4.12876496e+00
0,8,86,-4.13019683e+00
0,8,87,-4.12692961e+00
0,8,88,-4.11549144e+00
0,8,89,-4.09583815e+00
0,8,90,-4.07422258e+00
0,8,91,-4.05641540e+00
0,8,92,-4.04286496e+00
0,8,93,-4.03203333e+00
0,8,94,-4.02156049e+00
0,8,95,-4.01200113e+00
0,8,96,-4.00559546e+00
