x,y,z,Fy
0,10,80,nan
0,10,81,nan
0,10,82,6.01399213e+01
0,10,83,nan
0,10,84,5.80348614e+01
0,10,85,nan
0,10,86,nan
0,10,87,nan
0,10,88,5.80455271e+01
0,10,89,5.71694532e+01
0,10,90,5.70029611e+01
0,10,91,6.13553501e+01
0,10,92,nan
0,10,93,nan
0,10,94,5.97879210e+01
0,10,95,nan
0,10,96,nan
0,10,97,nan
0,10,98,5.77191855e+01
0,10,99,nan
0,11,0,6.38262917e+01
0,11,1,6.02131032e+01
0,11,2,5.98391673e+01
0,11,3,nan
0,11,4,6.16373028e+01
0,11,5,5.93909505e+01
0,11,6,6.31524396e+01
0,11,7,5.73634659e+01
0,11,8,5.49953494e+01
0,11,9,nan
0,11,10,5.77095380e+01
0,11,11,nan
0,11,12,nan
0,11,13,nan
0,11,14,6.26486603e+01
0,11,15,6.25632050e+01
0,11,16,6.35329521e+01
0,11,17,nan
0,11,18,6.05518782e+01
0,11,19,6.09272523e+01
0,11,20,5.84208663e+01
0,11,21,nan
0,11,22,nan
0,11,23,5.96473797e+01
0,11,24,5.94059175e+01
0,11,25,6.08774827e+01
0,11,26,nan
0,11,27,6.34980624e+01
0,11,28,6.54857992e+01
0,11,29,6.44438179e+01
0,11,30,5.72080162e+01
0,11,31,nan
0,11,32,nan
0,11,33,nan
0,11,34,nan
0,11,35,6.32594919e+01
0,11,36,nan
0,11,37,nan
0,11,38,nan
0,11,39,nan
0,11,40,nan
0,11,41,5.86123652e+01
0,11,42,5.91025261e+01
0,11,43,nan
0,11,44,nan
0,11,45,6.32688981e+01
0,11,46,nan
0,11,47,5.86020785e+01
0,11,48,6.03354280e+01
0,11,49,5.94936995e+01
0,11,50,5.92826641e+01
0,11,51,5.88044826e+01
0,11,52,nan
0,11,53,nan
0,11,54,nan
0,11,55,nan
0,11,56,nan
0,11,57,nan
0,11,58,nan
0,11,59,5.32684816e+01
0,11,60,6.00523026e+01
