x,y,z,vz
0,9,85,nan
0,9,86,nan
0,9,87,nan
0,9,88,nan
0,9,89,nan
0,9,90,nan
0,9,91,nan
0,9,92,nan
0,9,93,nan
0,9,94,nan
0,9,95,nan
0,9,96,nan
0,9,97,nan
0,9,98,nan
0,9,99,nan
0,10,0,-5.63276018e+00
0,10,1,-4.50535679e+00
0,10,2,-4.24371010e+00
0,10,3,-4.11315073e+00
0,10,4,-4.04350550e+00
0,10,5,-4.01078904e+00
0,10,6,-4.00121524e+00
0,10,7,-4.00162763e+00
0,10,8,-4.00650285e+00
0,10,9,-4.01483412e+00
0,10,10,-4.02056868e+00
0,10,11,-4.01857624e+00
0,10,12,-4.00601931e+00
0,10,13,-3.98361097e+00
0,10,14,-3.96052846e+00
0,10,15,-3.94617854e+00
0,10,16,-3.94242551e+00
0,10,17,-3.94579906e+00
0,10,18,-3.95835316e+00
0,10,19,-3.98064867e+00
0,10,20,-4.00770930e+00
0,10,21,-4.03660878e+00
0,10,22,-4.06485696e+00
0,10,23,-4.09107933e+00
0,10,24,-4.10819582e+00
0,10,25,-4.11083438e+00
0,10,26,-4.10333705e+00
0,10,27,-4.09511512e+00
0,10,28,-4.09426828e+00
0,10,29,-4.10809423e+00
0,10,30,-4.13547835e+00
0,10,31,-4.15995585e+00
0,10,32,-4.16935210e+00
0,10,33,-4.17002583e+00
0,10,34,-4.17077035e+00
0,10,35,-4.17310937e+00
0,10,36,-4.17723286e+00
0,10,37,-4.17847174e+00
0,10,38,-4.16881186e+00
0,10,39,-4.14774170e+00
0,10,40,-4.13118037e+00
0,10,41,-4.12628129e+00
0,10,42,-4.13522329e+00
0,10,43,-4.16640153e+00
0,10,44,-4.22628914e+00
0,10,45,-4.31417365e+00
0,10,46,-4.42795117e+00
0,10,47,-4.56391496e+00
0,10,48,-4.73555065e+00
0,10,49,-5.00606124e+00
0,10,50,-5.62560386e+00
