x,y,z,Fx
0,4,62,nan
0,4,63,5.70163289e+01
0,4,64,5.98635024e+01
0,4,65,5.82934728e+01
0,4,66,6.43139112e+01
0,4,67,6.03979879e+01
0,4,68,5.81184285e+01
0,4,69,5.88744557e+01
0,4,70,nan
0,4,71,nan
0,4,72,nan
0,4,73,5.64689082e+01
0,4,74,nan
0,4,75,nan
0,4,76,6.02843405e+01
0,4,77,nan
0,4,78,nan
0,4,79,nan
0,4,80,5.96829464e+01
0,4,81,5.86023923e+01
0,4,82,5.93659633e+01
0,4,83,5.80127573e+01
0,4,84,6.13951685e+01
0,4,85,nan
0,4,86,nan
0,4,87,5.94469352e+01
0,4,88,5.93593252e+01
0,4,89,5.92842208e+01
0,4,90,6.14626048e+01
0,4,91,5.66117076e+01
0,4,92,nan
0,4,93,5.65788926e+01
0,4,94,nan
0,4,95,5.82376945e+01
0,4,96,nan
0,4,97,nan
0,4,98,nan
0,4,99,nan
0,5,0,6.01503671e+01
0,5,1,5.74633192e+01
0,5,2,nan
0,5,3,nan
0,5,4,5.86802858e+01
0,5,5,5.53651184e+01
0,5,6,5.58214708e+01
0,5,7,5.58428330e+01
0,5,8,nan
0,5,9,nan
0,5,10,nan
0,5,11,5.66743316e+01
0,5,12,nan
0,5,13,nan
0,5,14,5.63227619e+01
0,5,15,nan
0,5,16,nan
0,5,17,nan
0,5,18,nan
0,5,19,nan
0,5,20,5.99688139e+01
0,5,21,nan
0,5,22,5.85314290e+01
0,5,23,nan
0,5,24,5.87558140e+01
0,5,25,nan
0,5,26,5.73724914e+01
0,5,27,5.63576979e+01
0,5,28,nan
0,5,29,nan
0,5,30,nan
0,5,31,nan
0,5,32,5.81696593e+01
0,5,33,6.04241561e+01
0,5,34,6.25753246e+01
0,5,35,6.39607662e+01
0,5,36,nan
0,5,37,6.27081167e+01
0,5,38,nan
0,5,39,nan
0,5,40,5.52809939e+01
0,5,41,5.62551272e+01
0,5,42,nan
0,5,43,6.37979416e+01
0,5,44,6.04986998e+01
0,5,45,5.96552608e+01
0,5,46,6.27473174e+01
0,5,47,5.99228619e+01
0,5,48,5.71496440e+01
0,5,49,6.04942860e+01
0,5,50,5.95169141e+01
0,5,51,6.21404548e+01
0,5,52,5.98378222e+01
0,5,53,nan
0,5,54,nan
0,5,55,nan
0,5,56,6.11186868e+01
0,5,57,6.18408153e+01
0,5,58,nan
0,5,59,nan
0,5,60,nan
0,5,61,nan
0,5,62,nan
0,5,63,6.01784942e+01
